wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.2,0.03,1.25,1,0.8,1.07775294394577,0.215791555871293,0.238603120867239,0.233411580025441,0.978241940746928,0.405847671764408,0.332360939579524
0.2,0.04,1.25,1.2,0.8,1.07771209665128,0.221226620960086,0.24495893962497,0.239685154541793,0.978470738437835,0.284797756316615,0.286982869279216
0.15,0.1,1.75,1.2,1.2,1.0776168447874,0.222390100623627,0.246412810336724,0.24109296862542,0.978410855734187,0.128280730111735,0.198082440117194
0.2,0.04,1,1.2,0.8,1.07748516262481,0.207025155594561,0.229583130748399,0.224704617490856,0.978750558712043,0.283298875193896,0.270153714962571
0.2,0.06,1.5,1.2,1.2,1.07744605016189,0.209478478123217,0.23191820182719,0.226903487661691,0.978377229014414,0.125931366710291,0.183252015535728
0.2,0.04,1.75,1,1,1.07739013526513,0.215173166306905,0.237801129474571,0.232597867585676,0.978119271761272,0.259633682879872,0.266456113011024
0.2,0.04,1.5,1,1.2,1.07732985388859,0.217504890581163,0.240398572140221,0.235146727094028,0.978153593012485,0.180479546789003,0.223604962846397
0.2,0.02,0.75,1.2,0.8,1.07728782573359,0.223895491021872,0.24814181661988,0.242856076396526,0.978698712311552,0.285208248226428,0.288045659879784
0.2,0.015,0.75,1,1,1.0772432526306,0.211808783378512,0.234162629583304,0.229060708436962,0.978212060756999,0.259332847583259,0.261142963218342
0.2,0.015,0.75,1,1.2,1.077233976928,0.215096634345045,0.237655801297647,0.232451736764731,0.978102514205418,0.180296117095295,0.220600764407076
0.2,0.04,1,1.2,1.2,1.07712702429931,0.223733473425865,0.247881270169218,0.242582638461025,0.978624315969594,0.12673943950307,0.192001845950187
0.2,0.03,1,1,1,1.07705096024721,0.208873684326943,0.231170943121191,0.22618326002845,0.978424264635516,0.259101490182414,0.257677673601588
0.2,0.04,1.25,1,1.2,1.07702607043741,0.209745969906339,0.232017028674587,0.226983996960378,0.978307490002088,0.179962543031178,0.216333600766537
0.2,0.04,1.5,1,1,1.07699065874489,0.210532206840782,0.232789111852867,0.227717093687985,0.978211961356304,0.259187825773086,0.261287396870647
0.15,0.06,0.75,1,1,1.07690406523001,0.202112413933862,0.225133651420993,0.220526583263213,0.979536297089746,0.263997516248934,0.257962596932567
0.15,0.06,1.5,0.8,1,1.07675960712539,0.223844177153397,0.247922929721196,0.24257886573146,0.978444656185109,0.412842939171335,0.352535378244795
0.15,0.1,1.75,1.2,1,1.07666245877588,0.206966635420275,0.229304645963898,0.224342107835692,0.978358318439881,0.183298561494455,0.223510479602133
0.2,0.015,0.75,1,0.8,1.07616601854711,0.207507512665252,0.229578115492629,0.224607839600971,0.97835039336832,0.404613161097544,0.320170874597438
